Date,Predicted_Price
2025-08-09,116173.12441029958
2025-08-10,115935.92018346008
2025-08-11,115279.82682411498
2025-08-12,114741.1031012702
2025-08-13,114054.45035194214
2025-08-14,113506.0619693559
2025-08-15,112653.69836926079
2025-08-16,111586.43297270738
2025-08-17,111020.40033703593
2025-08-18,109364.87633613378
2025-08-19,107235.39484307161
2025-08-20,106365.00772655834
2025-08-21,105541.85447674616
2025-08-22,103185.93042659629
2025-08-23,101287.80609844458
2025-08-24,99142.3880973785
2025-08-25,97362.01417667758
2025-08-26,95613.08366660644
2025-08-27,93914.39893712939
2025-08-28,92183.741798675
2025-08-29,90545.98357046553
2025-08-30,88937.32214351116
2025-08-31,87298.38271372547
2025-09-01,85755.01067879813
2025-09-02,84172.14905134245
2025-09-03,82549.66986300984
2025-09-04,80699.68949838239
2025-09-05,78991.88151897617
2025-09-06,77313.76469511037
2025-09-07,75886.71115688156
